"tick","Remaining Humans","Remaining Zombies"
1.0,1,150
2.0,2,150
3.0,3,150
4.0,3,150
5.0,4,150
6.0,5,150
7.0,5,150
8.0,6,150
9.0,6,150
10.0,7,150
11.0,8,150
12.0,8,150
13.0,8,150
14.0,8,150
15.0,9,150
16.0,9,150
17.0,10,150
18.0,11,150
19.0,11,150
20.0,12,150
21.0,13,150
22.0,13,150
23.0,14,150
24.0,14,150
25.0,14,150
26.0,15,150
27.0,15,150
28.0,16,150
29.0,16,150
30.0,17,150
31.0,17,150
32.0,18,150
33.0,19,150
34.0,19,150
35.0,20,150
36.0,21,150
37.0,22,150
38.0,22,150
39.0,23,150
40.0,24,150
41.0,24,150
42.0,24,150
43.0,25,150
44.0,25,150
45.0,26,150
46.0,26,150
47.0,27,150
48.0,27,150
49.0,28,150
50.0,28,150
51.0,29,150
52.0,30,150
53.0,30,150
54.0,31,150
55.0,31,150
56.0,32,150
57.0,32,150
58.0,33,150
59.0,33,150
60.0,34,150
61.0,35,150
62.0,35,150
63.0,35,150
64.0,36,150
65.0,36,150
66.0,37,150
67.0,38,150
68.0,38,150
69.0,39,150
70.0,39,150
71.0,40,150
72.0,41,150
73.0,41,150
74.0,42,150
75.0,42,150
76.0,43,150
77.0,43,150
78.0,44,150
79.0,45,150
80.0,45,150
81.0,46,150
82.0,47,150
83.0,48,150
84.0,48,150
85.0,48,150
86.0,49,150
87.0,50,150
88.0,51,150
89.0,51,150
90.0,51,150
91.0,51,150
92.0,52,150
93.0,53,150
94.0,54,150
95.0,54,150
96.0,54,150
97.0,55,150
98.0,55,150
99.0,56,150
100.0,56,150
101.0,56,150
102.0,57,150
103.0,57,150
104.0,58,150
105.0,58,150
106.0,59,150
107.0,60,150
108.0,60,150
109.0,60,150
110.0,61,150
111.0,61,150
112.0,62,150
113.0,62,150
114.0,63,150
115.0,63,150
116.0,64,150
117.0,65,150
118.0,65,150
119.0,65,150
120.0,66,150
121.0,66,150
122.0,67,150
123.0,68,150
124.0,68,150
125.0,69,150
126.0,70,150
127.0,70,150
128.0,71,150
129.0,72,150
130.0,72,150
131.0,72,150
132.0,72,150
133.0,73,150
134.0,73,150
135.0,74,150
136.0,75,150
137.0,76,150
138.0,76,150
139.0,77,150
140.0,77,150
141.0,78,150
142.0,78,150
143.0,78,150
144.0,79,150
145.0,80,150
146.0,80,150
147.0,81,150
148.0,81,150
149.0,81,150
150.0,82,150
151.0,83,150
152.0,83,150
153.0,84,150
154.0,85,150
155.0,85,150
156.0,85,150
157.0,86,150
158.0,86,150
159.0,87,150
160.0,88,150
161.0,88,150
162.0,89,150
163.0,90,150
164.0,90,150
165.0,91,150
166.0,91,150
167.0,92,150
168.0,93,150
169.0,93,150
170.0,94,150
171.0,94,150
172.0,95,150
173.0,96,150
174.0,96,150
175.0,97,150
176.0,97,150
177.0,98,150
178.0,98,150
179.0,99,150
180.0,99,150
181.0,100,150
182.0,100,150
183.0,101,150
184.0,102,150
185.0,102,150
186.0,103,150
187.0,103,150
188.0,104,150
189.0,104,150
190.0,105,150
191.0,105,150
192.0,106,150
193.0,106,150
194.0,107,150
195.0,107,150
196.0,108,150
197.0,109,150
198.0,109,150
199.0,109,150
200.0,110,150
201.0,110,150
202.0,111,150
203.0,112,150
204.0,112,150
205.0,113,150
206.0,113,150
207.0,113,150
208.0,114,150
209.0,115,150
210.0,116,150
211.0,116,150
212.0,116,150
213.0,117,150
214.0,117,150
215.0,118,150
216.0,118,150
217.0,119,150
218.0,120,150
219.0,121,150
220.0,121,150
221.0,122,150
222.0,123,150
223.0,124,150
224.0,124,150
225.0,124,150
226.0,124,150
227.0,125,150
228.0,125,150
229.0,126,150
230.0,127,150
231.0,127,150
232.0,128,150
233.0,129,150
234.0,129,150
235.0,130,150
236.0,131,150
237.0,131,150
238.0,131,150
239.0,132,150
240.0,133,150
241.0,133,150
242.0,134,150
243.0,134,150
244.0,135,150
245.0,136,150
246.0,136,150
247.0,136,150
248.0,137,150
249.0,138,150
250.0,138,150
251.0,139,150
252.0,139,150
253.0,140,150
254.0,140,150
255.0,140,150
256.0,141,150
257.0,141,150
258.0,142,150
259.0,143,150
260.0,144,150
261.0,144,150
262.0,144,150
263.0,144,150
264.0,145,150
265.0,145,150
266.0,146,150
267.0,146,150
268.0,147,150
269.0,147,150
270.0,148,150
271.0,149,150
272.0,150,150
273.0,150,150
274.0,150,150
275.0,150,150
276.0,150,150
277.0,150,150
278.0,150,150
279.0,150,150
280.0,150,150
281.0,150,150
282.0,150,150
283.0,150,150
284.0,150,150
285.0,150,150
286.0,150,150
287.0,150,150
288.0,150,150
289.0,150,150
290.0,150,150
291.0,150,150
292.0,150,150
293.0,150,150
294.0,150,150
295.0,150,150
296.0,150,150
297.0,150,150
298.0,150,150
299.0,150,150
300.0,150,150
301.0,150,150
302.0,150,150
303.0,150,150
304.0,150,150
305.0,150,150
306.0,150,150
307.0,150,150
308.0,150,150
309.0,150,150
310.0,150,150
311.0,150,150
312.0,150,150
313.0,150,150
314.0,150,150
315.0,150,150
316.0,150,150
317.0,150,150
318.0,150,150
319.0,150,150
320.0,150,150
321.0,150,150
322.0,150,150
323.0,150,150
324.0,150,150
325.0,150,150
326.0,150,150
327.0,150,150
328.0,150,150
329.0,150,150
330.0,150,150
331.0,150,150
332.0,150,150
333.0,150,150
334.0,150,150
335.0,150,150
336.0,150,150
337.0,150,150
338.0,150,150
339.0,150,150
340.0,150,150
341.0,150,150
342.0,150,150
343.0,150,150
344.0,150,150
345.0,150,150
346.0,150,150
347.0,150,150
348.0,150,150
349.0,150,150
350.0,150,150
351.0,150,150
352.0,150,150
353.0,150,150
354.0,150,150
355.0,150,150
356.0,150,150
357.0,150,150
358.0,150,150
359.0,150,150
360.0,150,150
361.0,150,150
362.0,150,150
363.0,150,150
364.0,150,150
365.0,150,150
366.0,150,150
367.0,150,150
368.0,150,150
369.0,150,150
370.0,150,150
371.0,150,150
372.0,150,150
373.0,150,150
374.0,150,150
375.0,150,150
376.0,150,150
377.0,150,150
378.0,150,150
379.0,150,150
380.0,150,150
381.0,150,150
382.0,150,150
383.0,150,150
384.0,150,150
385.0,150,150
386.0,150,150
387.0,150,150
388.0,150,150
389.0,150,150
390.0,150,150
391.0,150,150
392.0,150,150
393.0,150,150
394.0,150,150
395.0,150,150
396.0,150,150
